Специальность;Зарплата в рублях;Ссылка
Программист.Web-разработчик;50 — 180 000 ;https://www.avito.ru/rostov-na-donu/vakansii/programmist.web-razrabotchik_2269800449
Техник-программист;50 000 ;https://www.avito.ru/petropavlovsk-kamchatskiy/vakansii/tehnik-programmist_2183483758
Веб-программист;100 000 ;https://www.avito.ru/moskva/vakansii/veb-programmist_2255938399
Инженер-программист;от 40 000 ;https://www.avito.ru/saransk/vakansii/inzhener-programmist_2248448450
Программист 1C;80 000 — 150 000 ;https://www.avito.ru/krasnodar/vakansii/programmist_1c_2251607087
Программист 1С;110 000 — 160 000 ;https://www.avito.ru/kommunarka/vakansii/programmist_1s_2255415063
Web программист/ведение сайта;35 000 — 40 000 ;https://www.avito.ru/stavropol/vakansii/web_programmistvedenie_sayta_2239143773
Инженер-программист асу;Зарплата не указана;https://www.avito.ru/velikie_luki/vakansii/inzhener-programmist_asu_1735052547
Программист JavaScript / Vue;600 — 1 000 ;https://www.avito.ru/vladimir/vakansii/programmist_javascript_vue_2262297268
Программист 1С;от 60 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2197903083
Программист 1С;до 150 000 ;https://www.avito.ru/moskva/vakansii/programmist_1s_2240773369
Ведущий инженер-программист;от 51 800 ;https://www.avito.ru/taganrog/vakansii/veduschiy_inzhener-programmist_2237553343
Программист наладчик;Зарплата не указана;https://www.avito.ru/kungur/vakansii/programmist_naladchik_2192435036
Программист 1С;80 000 ;https://www.avito.ru/kazan/vakansii/programmist_1s_2265872617
Программист C#, Питон;50 000 ;https://www.avito.ru/syktyvkar/vakansii/programmist_c_piton_599182409
Программист 1С;0 — 100 000 ;https://www.avito.ru/barnaul/vakansii/programmist_1s_2262842632
Программист 1с;50 000 ;https://www.avito.ru/orenburg/vakansii/programmist_1s_2021190272
Програмист 1с;1 ;https://www.avito.ru/moskva/vakansii/programist_1s_2156090406
Программист 1с;Зарплата не указана;https://www.avito.ru/amurskaya_oblast_blagoveschensk/vakansii/programmist_1s_2216468533
Программист 1С;от 100 000 ;https://www.avito.ru/biysk/vakansii/programmist_1s_2263479393
Помощник программиста;40 000 — 70 000 ;https://www.avito.ru/severodvinsk/vakansii/pomoschnik_programmista_2228907839
Программист на плоттер;Зарплата не указана;https://www.avito.ru/volgodonsk/vakansii/programmist_na_plotter_2246434558
Программист 1С;50 000 ;https://www.avito.ru/ulyanovsk/vakansii/programmist_1s_2019358470
Программист 1С;1 400 — 60 000 ;https://www.avito.ru/krasnodar/vakansii/programmist_1s_1767114046
Программист разработчик.NET Core / C#;100 000 — 250 000 ;https://www.avito.ru/sankt-peterburg/vakansii/programmist_razrabotchik.net_core_c_2252309674
Программист С#;от 45 000 ;https://www.avito.ru/stavropol/vakansii/programmist_s_2249516052
Инженер-программист;40 000 — 50 000 ;https://www.avito.ru/kyshtym/vakansii/inzhener-programmist_2141169944
Программист 1С Битрикс для Интернет-магазина;100 000 — 130 000 ;https://www.avito.ru/moskva/vakansii/programmist_1s_bitriks_dlya_internet-magazina_2266413195
Инженер-программист микроконтроллеров;Зарплата не указана;https://www.avito.ru/moskva/vakansii/inzhener-programmist_mikrokontrollerov_2255066986
Программист 1C;Зарплата не указана;https://www.avito.ru/moskva/vakansii/programmist_1c_2256850865
Помощник программиста;от 35 000 ;https://www.avito.ru/kansk/vakansii/pomoschnik_programmista_2213804122
Программист 1С;30 000 — 80 000 ;https://www.avito.ru/magnitogorsk/vakansii/programmist_1s_2267213043
Web программист;от 25 000 ;https://www.avito.ru/rostov-na-donu/vakansii/web_programmist_2255864574
Программист, разработчик PHP, JavaScript, Django;от 10 000 ;https://www.avito.ru/mineralnye_vody/vakansii/programmist_razrabotchik_php_javascript_django_2258229987
Программист станков с чпу;Зарплата не указана;https://www.avito.ru/krymsk/vakansii/programmist_stankov_s_chpu_1988634914
Программист (создание личного кабинета и его ред);50 000 — 100 000 ;https://www.avito.ru/moskva/vakansii/programmist_sozdanie_lichnogo_kabineta_i_ego_red_2252685062
Программист PHP;60 000 ;https://www.avito.ru/krasnodar/vakansii/programmist_php_2184498117
Программист 1С;60 000 — 80 000 ;https://www.avito.ru/tula/vakansii/programmist_1s_2058248310
Программист- разработчик;до 40 000 ;https://www.avito.ru/aleksandrov/vakansii/programmist-_razrabotchik_2235781750
Программист 1С;50 000 ;https://www.avito.ru/biysk/vakansii/programmist_1s_2227268404
Требуется программист создание сайта ведение сайта;5 000 — 20 000 ;https://www.avito.ru/surgut/vakansii/trebuetsya_programmist_sozdanie_sayta_vedenie_sayta_2225794240
Web-программист;от 25 000 ;https://www.avito.ru/bratsk/vakansii/web-programmist_2252748747
Программист 1С;100 ;https://www.avito.ru/konstantinovsk/vakansii/programmist_1s_2258076678
Программист;Зарплата не указана;https://www.avito.ru/kaliningradskaya_oblast_sovetsk/vakansii/programmist_2238617846
Программист 1с;65 — 70 ;https://www.avito.ru/krasnodar/vakansii/programmist_1s_2223671231
Инженер-программист микроконтроллеров;Зарплата не указана;https://www.avito.ru/moskva/vakansii/inzhener-programmist_mikrokontrollerov_2255066986
Инженер-программист;60 000 — 65 000 ;https://www.avito.ru/muravlenko/vakansii/inzhener-programmist_2242351088
Программист преподаватель;400  в час;https://www.avito.ru/kaliningrad/vakansii/programmist_prepodavatel_2263080120
Программист 1С;Зарплата не указана;https://www.avito.ru/sankt-peterburg/vakansii/programmist_1s_2243664840
Инженер Программист 1С;60 000 ;https://www.avito.ru/obninsk/vakansii/inzhener_programmist_1s_1072970607
Веб-программист;45 000 — 60 000 ;https://www.avito.ru/kislovodsk/vakansii/veb-programmist_2264079417
Программист 1С;80 000 — 120 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2221311343
Контент-менеджер (руководитель проекта);от 70 000 ;https://www.avito.ru/ekaterinburg/vakansii/kontent-menedzher_rukovoditel_proekta_2248576658
Программист assembler, C, Reverse Engineer;100 000 — 200 000 ;https://www.avito.ru/moskva/vakansii/programmist_assembler_c_reverse_engineer_2247100759
Программист 1С;100 ;https://www.avito.ru/tyumenskaya_oblast_yarkovo/vakansii/programmist_1s_2258526946
Программист 1С;от 110 000 ;https://www.avito.ru/tver/vakansii/programmist_1s_2097069866
Программист 1С;от 60 000 ;https://www.avito.ru/kirovskaya_oblast_kirov/vakansii/programmist_1s_2197903083
Инженер-программист;от 40 000 ;https://www.avito.ru/saransk/vakansii/inzhener-programmist_2248448450
Программист 1 С;от 70 000 ;https://www.avito.ru/inozemtsevo_kp/vakansii/programmist_1_s_2220540678
Программист 1С;0 — 100 000 ;https://www.avito.ru/barnaul/vakansii/programmist_1s_2262842632
Помощник программиста;от 35 000 ;https://www.avito.ru/kansk/vakansii/pomoschnik_programmista_2213804122
Программист Веб-разработчик hostcms;100 000 ;https://www.avito.ru/moskva/vakansii/programmist_veb-razrabotchik_hostcms_1905010076
Программист 1С;80 000 ;https://www.avito.ru/vladimir/vakansii/programmist_1s_2246943906
Програмист 1с;1 ;https://www.avito.ru/moskva/vakansii/programist_1s_2156090406
Программист 1С;Зарплата не указана;https://www.avito.ru/moskva/vakansii/programmist_1s_2255061821
Программист станков с чпу;Зарплата не указана;https://www.avito.ru/krymsk/vakansii/programmist_stankov_s_chpu_1988634914
Программист для Симп Лайт (Simp Light scada);Зарплата не указана;https://www.avito.ru/rybinsk/vakansii/programmist_dlya_simp_layt_simp_light_scada_2241302519
Верстальщик, программист;40 000 — 70 000 ;https://www.avito.ru/simferopol/vakansii/verstalschik_programmist_1584682840
Программист WinDraw (удаленная работа);Зарплата не указана;https://www.avito.ru/moskva/vakansii/programmist_windraw_udalennaya_rabota_2254141630
Программист 1C;Зарплата не указана;https://www.avito.ru/belorechensk/vakansii/programmist_1c_2262104666
Программист 1С;Зарплата не указана;https://www.avito.ru/chaltyr/vakansii/programmist_1s_2244741087
Программист-специалист по Moodle;Зарплата не указана;https://www.avito.ru/sankt-peterburg/vakansii/programmist-spetsialist_po_moodle_2250267214
Web-программист;30 000 — 250 000 ;https://www.avito.ru/sankt-peterburg/vakansii/web-programmist_2205877738
Web программист;от 20 000 ;https://www.avito.ru/moskva/vakansii/web_programmist_2266174068
PHP программист с обучением;15 000 — 30 000 ;https://www.avito.ru/liski/vakansii/php_programmist_s_obucheniem_1253821053
Программист Docsvision;Зарплата не указана;https://www.avito.ru/habarovsk/vakansii/programmist_docsvision_2240233444
Техник, инженер, программист;30 000 — 100 000 ;https://www.avito.ru/penza/vakansii/tehnik_inzhener_programmist_2180411189
Программист 1С в г.Калуга или в г.Козельск;100 000 ;https://www.avito.ru/kozelsk/vakansii/programmist_1s_v_g.kaluga_ili_v_g.kozelsk_1876690012
Системный администратор, программист;50 000 ;https://www.avito.ru/izhevsk/vakansii/sistemnyy_administrator_programmist_1564461813
